#[0]step() [1]time(s) [2]total(J) [3]ele(J) [4]ion(J) [5]total_mean(J) [6]ele_mean(J) [7]ion_mean(J)
920 1.06328137500676e-13 4.06842961942276e+00 4.06570330521615e+00 2.72631420660557e-03 8.73525562831818e-17 1.74588040114604e-16 1.17072451759380e-19
928 1.07252730000682e-13 5.27191920239122e+00 5.26834756934151e+00 3.57163304970801e-03 1.13192475211751e-16 2.26231578579238e-16 1.53371844265433e-19
936 1.08177322500688e-13 6.20620577404950e+00 6.20202774425426e+00 4.17802979524179e-03 1.33252382342941e-16 2.66325353160069e-16 1.79411525812975e-19
944 1.09101915000694e-13 7.81940010332580e+00 7.81395641903654e+00 5.44368428926065e-03 1.67889001782314e-16 3.35544242736619e-16 2.33760828008612e-19
952 1.10026507500700e-13 9.19387521296248e+00 9.18660231470099e+00 7.27289826149312e-03 1.97400121699734e-16 3.94487933090991e-16 3.12310308476750e-19
960 1.10951100000706e-13 1.12219727028775e+01 1.12134471266444e+01 8.52557623308505e-03 2.40945055914602e-16 4.81524009451917e-16 3.66102377286686e-19
968 1.11875692500712e-13 1.30524029855030e+01 1.30418229274636e+01 1.05800580393758e-02 2.80245911341018e-16 5.60037497450035e-16 4.54325232001942e-19
976 1.12800285000718e-13 1.57105070572389e+01 1.56963874931341e+01 1.41195641048154e-02 3.37317609085125e-16 6.74028900679947e-16 6.06317490302255e-19
984 1.13724877500723e-13 1.79712434074619e+01 1.79544141483698e+01 1.68292590920497e-02 3.85857492467034e-16 7.70992308648838e-16 7.22676285230223e-19
992 1.14649470000729e-13 2.11423965375136e+01 2.11224237537430e+01 1.99727837705667e-02 4.53944778763689e-16 9.07031893081067e-16 8.57664446311739e-19
1000 1.15574062500735e-13 2.39157660832020e+01 2.38895491504648e+01 2.62169327372403e-02 5.13491321778039e-16 1.02585684500149e-15 1.12579855459174e-18
1008 1.16498655000741e-13 2.77838848497988e+01 2.77520714196441e+01 3.18134301546178e-02 5.96543038011762e-16 1.19171995459187e-15 1.36612143165776e-18
1016 1.17423247500747e-13 3.09401962029416e+01 3.09035169508144e+01 3.66792521272133e-02 6.64311659055715e-16 1.32704825021763e-15 1.57506789379929e-18
1024 1.18347840000753e-13 3.52870599701509e+01 3.52404567234507e+01 4.66032467002536e-02 7.57642427288189e-16 1.51328363390345e-15 2.00122067292417e-18
1032 1.19272432500759e-13 3.90670378269896e+01 3.90096680320691e+01 5.73697949204950e-02 8.38801685128694e-16 1.67513981615493e-15 2.46355410245891e-18
1040 1.20197025000765e-13 4.36194383895011e+01 4.35542457928593e+01 6.51925966417790e-02 9.36545498727416e-16 1.87029151927769e-15 2.79947817713792e-18
1048 1.21121617500771e-13 4.80777390944989e+01 4.79981143248789e+01 7.96247696199727e-02 1.03226891038519e-15 2.06111860115966e-15 3.41921961071108e-18
1056 1.22046210000776e-13 5.26829230827786e+01 5.25844230207949e+01 9.85000619836651e-02 1.13114602788776e-15 2.25806229981894e-15 4.22975595657265e-18
1064 1.22970802500782e-13 5.78047746653139e+01 5.76930850534061e+01 1.11689611907785e-01 1.24111642690894e-15 2.47743671672172e-15 4.79613709616332e-18
1072 1.23895395000788e-13 6.22863324531411e+01 6.21551240780149e+01 1.31208375126194e-01 1.33733918741304e-15 2.66904406967880e-15 5.63430514728277e-18
1080 1.24819987500794e-13 6.78327908848087e+01 6.76716773036746e+01 1.61113581134087e-01 1.45642624744514e-15 2.90593401061969e-15 6.91848427059536e-18
1088 1.25744580000800e-13 7.24865093724761e+01 7.23028154204566e+01 1.83693952019504e-01 1.55634544088021e-15 3.10480275892989e-15 7.88812283051882e-18
1096 1.26669172500806e-13 7.81866043657825e+01 7.79777003766496e+01 2.08903989132915e-01 1.67873120524128e-15 3.34849172686478e-15 8.97068361777551e-18
