#[0]step() [1]time(s) [2]total(J) [3]ele(J) [4]ion(J) [5]total_mean(J) [6]ele_mean(J) [7]ion_mean(J)
2704 3.12512265001970e-13 1.44003937767657e+03 1.38966468235544e+03 5.03746953211311e+01 3.09188390989883e-14 5.96745052689035e-14 2.16317292907310e-15
2712 3.13436857501975e-13 1.45182074187546e+03 1.40150299505268e+03 5.03177468227741e+01 3.11717947540064e-14 6.01828620418693e-14 2.16072746614351e-15
2720 3.14361450001981e-13 1.46196080736376e+03 1.41172017825934e+03 5.02406291044251e+01 3.13895103652225e-14 6.06216048269745e-14 2.15741590347060e-15
2728 3.15286042501987e-13 1.47182372763204e+03 1.42167524581872e+03 5.01484818133196e+01 3.16012754388368e-14 6.10490919316463e-14 2.15345894602726e-15
2736 3.16210635001992e-13 1.48114601991130e+03 1.43107438757789e+03 5.00716323334065e+01 3.18014327813958e-14 6.14527066608342e-14 2.15015890195749e-15
2744 3.17135227501998e-13 1.48895892659954e+03 1.43896617236953e+03 4.99927542300116e+01 3.19691823641738e-14 6.17915929829153e-14 2.14677174543231e-15
2752 3.18059820002004e-13 1.49574349266910e+03 1.44583935392923e+03 4.99041387398703e+01 3.21148526214689e-14 6.20867387935603e-14 2.14296644937746e-15
2760 3.18984412502009e-13 1.50115631738417e+03 1.45132395206663e+03 4.98323653175351e+01 3.22310704548355e-14 6.23222565300357e-14 2.13988437963524e-15
2768 3.19909005002015e-13 1.50506491805426e+03 1.45528973810296e+03 4.97751799512947e+01 3.23149913510930e-14 6.24925539569799e-14 2.13742874520606e-15
2776 3.20833597502021e-13 1.50756031795493e+03 1.45783982006270e+03 4.97204978922262e+01 3.23685696554175e-14 6.26020587038982e-14 2.13508060693686e-15
2784 3.21758190002026e-13 1.50814055851094e+03 1.45845677502755e+03 4.96837834833913e+01 3.23810279011211e-14 6.26285517728865e-14 2.13350402935575e-15
2792 3.22682782502032e-13 1.50837961706421e+03 1.45870792769164e+03 4.96716893725720e+01 3.23861606864175e-14 6.26393366846477e-14 2.13298468818735e-15
2800 3.23607375002038e-13 1.50800842075220e+03 1.45833424748502e+03 4.96741732671890e+01 3.23781907939111e-14 6.26232902370821e-14 2.13309135074005e-15
2808 3.24531967502043e-13 1.50954613852011e+03 1.45985232681604e+03 4.96938117040742e+01 3.24112068690147e-14 6.26884790802525e-14 2.13393465777682e-15
2816 3.25456560002049e-13 1.51003732079909e+03 1.46029918795216e+03 4.97381328469303e+01 3.24217529596893e-14 6.27076680382513e-14 2.13583788112736e-15
2824 3.26381152502055e-13 1.51039441484924e+03 1.46059094142450e+03 4.98034734247389e+01 3.24294200649441e-14 6.27201964160271e-14 2.13864371386113e-15
2832 3.27305745002061e-13 1.51107675709464e+03 1.46119001581581e+03 4.98867412788367e+01 3.24440705185520e-14 6.27459216635451e-14 2.14221937355888e-15
2840 3.28230337502066e-13 1.51237548394286e+03 1.46238592653162e+03 4.99895574112461e+01 3.24719552605084e-14 6.27972760522821e-14 2.14663446873479e-15
2848 3.29154930002072e-13 1.51019541913118e+03 1.46008487330557e+03 5.01105458256084e+01 3.24251474619283e-14 6.26984650120326e-14 2.15182991182405e-15
2856 3.30079522502078e-13 1.51084388817756e+03 1.46060357901306e+03 5.02403091645037e+01 3.24390706298754e-14 6.27207390950309e-14 2.15740216471998e-15
2864 3.31004115002083e-13 1.50819079717709e+03 1.45781595946347e+03 5.03748377136227e+01 3.23821065669266e-14 6.26010340902105e-14 2.16317904364275e-15
2872 3.31928707502089e-13 1.50998428047669e+03 1.45947386791702e+03 5.05104125596681e+01 3.24206141400018e-14 6.26722274277136e-14 2.16900085229011e-15
2880 3.32853300002095e-13 1.51015984340916e+03 1.45951964234435e+03 5.06402010648104e+01 3.24243836216875e-14 6.26741930575086e-14 2.17457418586640e-15
2888 3.33777892502100e-13 1.50706512379945e+03 1.45630293556276e+03 5.07621882366899e+01 3.23579374264291e-14 6.25360623355989e-14 2.17981251725921e-15
2896 3.34702485002106e-13 1.50520790576429e+03 1.45433471041708e+03 5.08731953472176e+01 3.23180614157512e-14 6.24515434848877e-14 2.18457934661465e-15
2904 3.35627077502112e-13 1.50195367824044e+03 1.45098336042201e+03 5.09703178184313e+01 3.22481904533585e-14 6.23076309601772e-14 2.18874994653977e-15
2912 3.36551670002117e-13 1.49643274984608e+03 1.44538013005039e+03 5.10526197956905e+01 3.21296515443894e-14 6.20670189588941e-14 2.19228412988483e-15
2920 3.37476262502123e-13 1.49069534715968e+03 1.43957711386962e+03 5.11182332900561e+01 3.20064647529329e-14 6.18178278237578e-14 2.19510168210800e-15
2928 3.38400855002129e-13 1.48428415181311e+03 1.43311722533132e+03 5.11669264817916e+01 3.18688110745507e-14 6.15404295006158e-14 2.19719264848548e-15
2936 3.39325447502134e-13 1.47602345038811e+03 1.42482505008803e+03 5.11984003000831e+01 3.16914469675937e-14 6.11843497487666e-14 2.19854418642072e-15
2944 3.40250040002140e-13 1.46822714597937e+03 1.41701542202192e+03 5.12117239574494e+01 3.15240538495183e-14 6.08489913726805e-14 2.19911632635620e-15
2952 3.41174632502146e-13 1.46153510960865e+03 1.41032674559671e+03 5.12083640119346e+01 3.13803702815559e-14 6.05617685183861e-14 2.19897204472563e-15
2960 3.42099225002151e-13 1.45578535992532e+03 1.40459670948230e+03 5.11886504430140e+01 3.12569183898408e-14 6.03157112682869e-14 2.19812551139470e-15
2968 3.43023817502157e-13 1.45149314901914e+03 1.40034020809739e+03 5.11529409217490e+01 3.11647610638369e-14 6.01329300423221e-14 2.19659208535176e-15
2976 3.43948410002163e-13 1.44850265747657e+03 1.39739907399511e+03 5.11035834814640e+01 3.11005527315753e-14 6.00066328681103e-14 2.19447259504036e-15
2984 3.44873002502168e-13 1.44647590065549e+03 1.39543406113227e+03 5.10418395232197e+01 3.10570365826316e-14 5.99222519581500e-14 2.19182120711322e-15
2992 3.45797595002174e-13 1.44490567159679e+03 1.39393644198902e+03 5.09692296077772e+01 3.10233224631659e-14 5.98579417093616e-14 2.18870321697023e-15
3000 3.46722187502180e-13 1.44376766186785e+03 1.39287885904078e+03 5.08888028270705e+01 3.09988884509801e-14 5.98125273442863e-14 2.18524955767387e-15
3008 3.47646780002185e-13 1.44260600571284e+03 1.39180346767120e+03 5.08025380416395e+01 3.09739467304257e-14 5.97663482560751e-14 2.18154520477630e-15
3016 3.48571372502191e-13 1.44128181332978e+03 1.39056904220156e+03 5.07127711282157e+01 3.09455152223277e-14 5.97133399799585e-14 2.17769046469685e-15
3024 3.49495965002197e-13 1.43955083714928e+03 1.38892811492346e+03 5.06227222258129e+01 3.09083497289122e-14 5.96428758422812e-14 2.17382361554314e-15
