#[0]step() [1]time(s) [2]xmin(m) [3]xmax(m) [4]ymin(m) [5]ymax(m) [6]zmin(m) [7]zmax(m) [8]pxmin(kg*m/s) [9]pxmax(kg*m/s) [10]pymin(kg*m/s) [11]pymax(kg*m/s) [12]pzmin(kg*m/s) [13]pzmax(kg*m/s) [14]gmin() [15]gmax() [16]wmin(1/m) [17]wmax(1/m)
200 2.31148125001470e-14 2.53699958119154e-05 6.99999910720765e-05 0.00000000000000e+00 0.00000000000000e+00 1.23628868063498e-11 2.99999397198945e-05 -5.33279149062663e-24 5.00313472251678e-24 -5.87270900436593e-24 5.97458348924270e-24 -5.03605884155899e-24 5.69493798628959e-24 1.00000000253748e+00 1.00025773416570e+00 2.17744964096033e+10 2.17744964096033e+10
208 2.40394050001529e-14 2.53679263599166e-05 6.99997596153681e-05 0.00000000000000e+00 0.00000000000000e+00 4.16606974815831e-12 2.99999778544982e-05 -5.38453224643717e-24 5.02624728460971e-24 -5.87556304072390e-24 5.97439192741378e-24 -5.05365455148153e-24 5.74603502742112e-24 1.00000000083168e+00 1.00025803737865e+00 2.17744964096033e+10 2.17744964096033e+10
216 2.49639975001588e-14 2.53659631276723e-05 6.99999862964906e-05 0.00000000000000e+00 0.00000000000000e+00 1.28404070388401e-10 2.99999771161730e-05 -5.46507556582638e-24 5.04041351108745e-24 -5.87803084813214e-24 5.97104126416386e-24 -5.07189900003815e-24 5.78211550551891e-24 1.00000000130092e+00 1.00025805419648e+00 2.17744964096033e+10 2.17744964096033e+10
224 2.58885900001647e-14 2.53641078749226e-05 6.99999481992423e-05 0.00000000000000e+00 0.00000000000000e+00 4.47923751916506e-12 2.99999924324302e-05 -5.56142572538877e-24 5.03520999795148e-24 -5.88132552220018e-24 5.97303356092152e-24 -5.12284189637595e-24 5.80025042896312e-24 1.00000000060804e+00 1.00025831646574e+00 2.17744964096033e+10 2.17744964096033e+10
232 2.68131825001705e-14 2.53623612979749e-05 6.99999461054997e-05 0.00000000000000e+00 0.00000000000000e+00 2.09156247720909e-11 2.99999598027860e-05 -5.66480388809522e-24 5.00759858677573e-24 -5.88453089509884e-24 5.97382644463371e-24 -5.24966111631919e-24 5.79729771016454e-24 1.00000000060919e+00 1.00025830710735e+00 2.17744964096033e+10 2.17744964096033e+10
240 2.77377750001764e-14 2.53607231994796e-05 6.99999567452943e-05 0.00000000000000e+00 0.00000000000000e+00 2.47355135268997e-11 2.99999810612826e-05 -5.76247839726659e-24 5.05292860848576e-24 -5.88372166384678e-24 5.97809845470749e-24 -5.35395589952027e-24 5.77456839504815e-24 1.00000000095226e+00 1.00025840753331e+00 2.17744964096033e+10 2.17744964096033e+10
248 2.86623675001823e-14 2.53591914569445e-05 6.99998613007122e-05 0.00000000000000e+00 0.00000000000000e+00 2.55835209042447e-11 2.99999930832270e-05 -5.84238300803004e-24 5.12513920717751e-24 -5.88382320403172e-24 5.98022624144360e-24 -5.42395920815464e-24 5.73396892328058e-24 1.00000000319358e+00 1.00025841890726e+00 2.17744964096033e+10 2.17744964096033e+10
256 2.95869600001882e-14 2.53577642904783e-05 6.99998679217508e-05 0.00000000000000e+00 0.00000000000000e+00 2.57154307884647e-11 2.99999163660779e-05 -5.89962152651498e-24 5.18249608209837e-24 -5.88596957884928e-24 5.98079532281966e-24 -5.46445058587400e-24 5.67341851867462e-24 1.00000000052707e+00 1.00026196769103e+00 2.17744964096033e+10 2.17744964096033e+10
264 3.05115525001941e-14 2.53564360187576e-05 6.99999222168666e-05 0.00000000000000e+00 0.00000000000000e+00 1.33813798769493e-11 2.99999931270653e-05 -5.92750145188887e-24 5.23554825419188e-24 -5.89014459345415e-24 5.98323144242144e-24 -5.46586127213710e-24 5.58401020941404e-24 1.00000000112583e+00 1.00026543733478e+00 2.17744964096033e+10 2.17744964096033e+10
272 3.14361450002000e-14 2.53552021842343e-05 6.99997727093168e-05 0.00000000000000e+00 0.00000000000000e+00 2.65827508597793e-11 2.99999602063127e-05 -5.91973859012871e-24 5.25538707480076e-24 -5.89087288296372e-24 5.98329591516237e-24 -5.42681943972471e-24 5.47552236473517e-24 1.00000000043712e+00 1.00026885336710e+00 2.17744964096033e+10 2.17744964096033e+10
280 3.23607375002058e-14 2.53540578048526e-05 6.99998772398459e-05 0.00000000000000e+00 0.00000000000000e+00 3.86943774954461e-12 2.99999775624426e-05 -5.87364749546095e-24 5.27649834189043e-24 -5.88718387822481e-24 5.98426232191860e-24 -5.35563866777709e-24 5.35521098668533e-24 1.00000000160955e+00 1.00027251975718e+00 2.17744964096033e+10 2.17744964096033e+10
288 3.32853300002117e-14 2.53529958829341e-05 6.99999959838635e-05 0.00000000000000e+00 0.00000000000000e+00 3.58708247431621e-12 2.99999798196543e-05 -5.79315348143751e-24 5.36122721208177e-24 -5.89053440601253e-24 5.98472462312339e-24 -5.25356773694301e-24 5.23446132931120e-24 1.00000000051567e+00 1.00027608111459e+00 2.17744964096033e+10 2.17744964096033e+10
296 3.42099225002176e-14 2.53520082004402e-05 6.99999917139289e-05 0.00000000000000e+00 0.00000000000000e+00 4.17611128986669e-12 2.99999717046321e-05 -5.67927655278275e-24 5.42348005836092e-24 -5.89477356369774e-24 5.98456117907624e-24 -5.13245502875367e-24 5.29027865339543e-24 1.00000000143399e+00 1.00027906198617e+00 2.17744964096033e+10 2.17744964096033e+10
