#[0]step() [1]time(s) [2]total_lev0(J) [3]E_lev0(J) [4]B_lev0(J)
1200 1.38688875000882e-13 9.93544920481367e+05 5.01454074846118e+05 4.92090845635249e+05
1208 1.39613467500888e-13 9.93539130966771e+05 5.01451203963275e+05 4.92087927003496e+05
1216 1.40538060000894e-13 9.93533209579823e+05 5.01446317112625e+05 4.92086892467198e+05
1224 1.41462652500900e-13 9.93527305139655e+05 5.01453143861215e+05 4.92074161278440e+05
1232 1.42387245000906e-13 9.93522261170723e+05 5.01454659007314e+05 4.92067602163409e+05
1240 1.43311837500912e-13 9.93516593421382e+05 5.01449066889126e+05 4.92067526532256e+05
1248 1.44236430000918e-13 9.93510891303396e+05 5.01454096461324e+05 4.92056794842072e+05
1256 1.45161022500923e-13 9.93505459165491e+05 5.01457433392886e+05 4.92048025772606e+05
1264 1.46085615000929e-13 9.93499744929557e+05 5.01452029350331e+05 4.92047715579226e+05
1272 1.47010207500935e-13 9.93494660786481e+05 5.01456070280188e+05 4.92038590506293e+05
1280 1.47934800000941e-13 9.93489045665863e+05 5.01460498943205e+05 4.92028546722658e+05
1288 1.48859392500947e-13 9.93483955162685e+05 5.01455313966540e+05 4.92028641196145e+05
1296 1.49783985000953e-13 9.93478685777771e+05 5.01457962877536e+05 4.92020722900234e+05
1304 1.50708577500959e-13 9.93472807818509e+05 5.01463333549441e+05 4.92009474269068e+05
1312 1.51633170000965e-13 9.93468133336485e+05 5.01460041850585e+05 4.92008091485900e+05
1320 1.52557762500971e-13 9.93463653543789e+05 5.01461284825450e+05 4.92002368718340e+05
1328 1.53482355000976e-13 9.93458600846023e+05 5.01466911715934e+05 4.91991689130089e+05
1336 1.54406947500982e-13 9.93453008037834e+05 5.01465292557682e+05 4.91987715480152e+05
1344 1.55331540000988e-13 9.93447575890748e+05 5.01463241046072e+05 4.91984334844676e+05
1352 1.56256132500994e-13 9.93443391728505e+05 5.01470211836861e+05 4.91973179891644e+05
1360 1.57180725001000e-13 9.93438433113468e+05 5.01470688425605e+05 4.91967744687863e+05
1368 1.58105317501006e-13 9.93433264091666e+05 5.01465926778600e+05 4.91967337313066e+05
1376 1.59029910001012e-13 9.93427097715945e+05 5.01472720056135e+05 4.91954377659810e+05
1384 1.59954502501018e-13 9.93422120300920e+05 5.01472956596968e+05 4.91949163703952e+05
1392 1.60879095001023e-13 9.93417118599869e+05 5.01468557615855e+05 4.91948560984015e+05
1400 1.61803687501029e-13 9.93411227453911e+05 5.01475265141092e+05 4.91935962312819e+05
1408 1.62728280001035e-13 9.93405675501429e+05 5.01474199563301e+05 4.91931475938128e+05
1416 1.63652872501041e-13 9.93398811143811e+05 5.01469179062393e+05 4.91929632081418e+05
1424 1.64577465001047e-13 9.93393244542646e+05 5.01475209569173e+05 4.91918034973474e+05
1432 1.65502057501053e-13 9.93387042627170e+05 5.01472624728366e+05 4.91914417898804e+05
1440 1.66426650001059e-13 9.93381348330813e+05 5.01469307366384e+05 4.91912040964429e+05
1448 1.67351242501065e-13 9.93374311060851e+05 5.01474181874575e+05 4.91900129186276e+05
1456 1.68275835001071e-13 9.93366791455407e+05 5.01469821139772e+05 4.91896970315635e+05
1464 1.69200427501076e-13 9.93362035949824e+05 5.01467361632350e+05 4.91894674317474e+05
1472 1.70125020001082e-13 9.93355502236309e+05 5.01470102303313e+05 4.91885399932997e+05
1480 1.71049612501088e-13 9.93348772640939e+05 5.01465313747724e+05 4.91883458893215e+05
1488 1.71974205001094e-13 9.93341513087284e+05 5.01465452460189e+05 4.91876060627094e+05
1496 1.72898797501100e-13 9.93333664211359e+05 5.01465725627010e+05 4.91867938584349e+05
1504 1.73823390001106e-13 9.93328935057778e+05 5.01455985187572e+05 4.91872949870206e+05
1512 1.74747982501112e-13 9.93321372984901e+05 5.01460970693488e+05 4.91860402291413e+05
1520 1.75672575001118e-13 9.93313350711779e+05 5.01459404597578e+05 4.91853946114201e+05
1528 1.76597167501123e-13 9.93305601194360e+05 5.01446477516969e+05 4.91859123677391e+05
1536 1.77521760001129e-13 9.93298732406821e+05 5.01449602451412e+05 4.91849129955409e+05
1544 1.78446352501135e-13 9.93292807336940e+05 5.01451659342990e+05 4.91841147993951e+05
1552 1.79370945001141e-13 9.93285498950802e+05 5.01439399131182e+05 4.91846099819620e+05
1560 1.80295537501147e-13 9.93277947007243e+05 5.01436713779556e+05 4.91841233227687e+05
1568 1.81220130001153e-13 9.93271207880484e+05 5.01440351028431e+05 4.91830856852053e+05
1576 1.82144722501159e-13 9.93264275232326e+05 5.01431061988696e+05 4.91833213243631e+05
1584 1.83069315001165e-13 9.93256497156266e+05 5.01425722537986e+05 4.91830774618280e+05
1592 1.83993907501171e-13 9.93251517256179e+05 5.01428765344668e+05 4.91822751911511e+05
1600 1.84918500001176e-13 9.93243483413243e+05 5.01422014471463e+05 4.91821468941780e+05
1608 1.85843092501182e-13 9.93236528992046e+05 5.01410822056702e+05 4.91825706935344e+05
1616 1.86767685001188e-13 9.93232290208280e+05 5.01417344083827e+05 4.91814946124454e+05
1624 1.87692277501194e-13 9.93225811592240e+05 5.01414208432276e+05 4.91811603159965e+05
1632 1.88616870001200e-13 9.93219126792395e+05 5.01399793574483e+05 4.91819333217912e+05
1640 1.89541462501206e-13 9.93212502944825e+05 5.01406360029046e+05 4.91806142915778e+05
1648 1.90466055001212e-13 9.93206234436838e+05 5.01405021268653e+05 4.91801213168185e+05
1656 1.91390647501218e-13 9.93201689877154e+05 5.01391951825690e+05 4.91809738051464e+05
1664 1.92315240001223e-13 9.93196545114318e+05 5.01397531920737e+05 4.91799013193581e+05
1672 1.93239832501229e-13 9.93193229178685e+05 5.01397442597339e+05 4.91795786581346e+05
1680 1.94164425001235e-13 9.93189238607949e+05 5.01387365310927e+05 4.91801873297021e+05
1688 1.95089017501241e-13 9.93186263062938e+05 5.01391439614379e+05 4.91794823448559e+05
1696 1.96013610001247e-13 9.93182872019374e+05 5.01394490001029e+05 4.91788382018345e+05
1704 1.96938202501253e-13 9.93177898116019e+05 5.01382514681899e+05 4.91795383434120e+05
1712 1.97862795001259e-13 9.93173716329211e+05 5.01381672120616e+05 4.91792044208595e+05
1720 1.98787387501265e-13 9.93168369761514e+05 5.01388702380781e+05 4.91779667380733e+05
1728 1.99711980001271e-13 9.93165472452368e+05 5.01379454768040e+05 4.91786017684328e+05
1736 2.00636572501276e-13 9.93162250893342e+05 5.01375602238496e+05 4.91786648654845e+05
1744 2.01561165001282e-13 9.93159789895284e+05 5.01383106472021e+05 4.91776683423263e+05
1752 2.02485757501288e-13 9.93157003466332e+05 5.01378934724521e+05 4.91778068741811e+05
1760 2.03410350001294e-13 9.93154956607607e+05 5.01369833811605e+05 4.91785122796002e+05
1768 2.04334942501300e-13 9.93148657189396e+05 5.01377886082268e+05 4.91770771107128e+05
1776 2.05259535001306e-13 9.93140900137398e+05 5.01374323858074e+05 4.91766576279324e+05
1784 2.06184127501312e-13 9.93134040058089e+05 5.01362442850661e+05 4.91771597207428e+05
1792 2.07108720001318e-13 9.93129962126528e+05 5.01365056612549e+05 4.91764905513979e+05
1800 2.08033312501323e-13 9.93127685048896e+05 5.01372218257238e+05 4.91755466791658e+05
1808 2.08957905001329e-13 9.93124668138152e+05 5.01362071086024e+05 4.91762597052128e+05
1816 2.09882497501335e-13 9.93123181557496e+05 5.01359156041605e+05 4.91764025515891e+05
1824 2.10807090001341e-13 9.93121794809234e+05 5.01372056571300e+05 4.91749738237934e+05
