#[0]step() [1]time(s) [2]total_x(kg*m/s) [3]total_y(kg*m/s) [4]total_z(kg*m/s) [5]ele_x(kg*m/s) [6]ele_y(kg*m/s) [7]ele_z(kg*m/s) [8]ion_x(kg*m/s) [9]ion_y(kg*m/s) [10]ion_z(kg*m/s) [11]total_mean_x(kg*m/s) [12]total_mean_y(kg*m/s) [13]total_mean_z(kg*m/s) [14]ele_mean_x(kg*m/s) [15]ele_mean_y(kg*m/s) [16]ele_mean_z(kg*m/s) [17]ion_mean_x(kg*m/s) [18]ion_mean_y(kg*m/s) [19]ion_mean_z(kg*m/s)
936 1.08177322500688e-13 2.14409171235509e-08 5.37738964843202e-11 2.52206882696235e-09 1.22463793274392e-08 4.06371864388093e-11 -4.88071256492371e-10 9.19453779611174e-09 1.31367100455109e-11 3.01014008345472e-09 4.60354263192036e-25 1.15457013113552e-27 5.41509082781050e-26 5.25879830565734e-25 1.74502815466666e-27 -2.09585888861964e-26 3.94828695818338e-25 5.64112107604382e-28 1.29260405442406e-25
944 1.09101915000694e-13 2.72469428723431e-08 5.38010696736175e-11 -1.06847064974904e-08 1.57271261442028e-08 3.71871412721375e-11 -3.09287047858955e-09 1.15198167281403e-08 1.66139284014800e-11 -7.59183601890081e-09 5.85014448680246e-25 1.15515356203381e-27 -2.29409505140642e-25 6.75348869315869e-25 1.59687749566916e-27 -1.32812985761282e-25 4.94680028044624e-25 7.13429628398459e-28 -3.26006024520002e-25
952 1.10026507500700e-13 3.23883678332319e-08 5.38941582223616e-11 5.92901048467221e-09 1.80590036653462e-08 3.20230253241160e-11 -4.66505949176445e-10 1.43293641678857e-08 2.18711328982456e-11 6.39551643384865e-09 6.95405104359210e-25 1.15715225033720e-27 1.27300769710596e-25 7.75483555897995e-25 1.37512179570627e-27 -2.00325388387357e-26 6.15326652820426e-25 9.39182704968124e-28 2.74634078259928e-25
960 1.10951100000706e-13 3.99026196477896e-08 5.39430059171091e-11 5.22121376968726e-09 2.22339080353774e-08 2.53238256595426e-11 3.37419017210023e-09 1.76687116124122e-08 2.86191802575665e-11 1.84702359758703e-09 8.56742319441791e-25 1.15820105083367e-27 1.12103787541455e-25 9.54760870771045e-25 1.08744705606806e-27 1.44893319776963e-25 7.58723768112537e-25 1.22895504559929e-27 7.93142553059467e-26
968 1.11875692500712e-13 4.69583088003708e-08 5.39925992039464e-11 -8.75123369398346e-09 2.53409450353294e-08 1.74906029596427e-11 7.96310885273899e-10 2.16173637650414e-08 3.65019962443037e-11 -9.54754457925736e-09 1.00823381406544e-24 1.15926585981035e-27 -1.87896241378124e-25 1.08818219044512e-24 7.51075487291211e-28 3.41949095507116e-26 9.28285437685765e-25 1.56745623232948e-27 -4.09987392306959e-25
976 1.12800285000718e-13 5.70729757449304e-08 5.40565116065020e-11 4.79453743545609e-09 3.08140203492677e-08 8.89138458808729e-12 -5.49410128885392e-09 2.62589553956627e-08 4.51651270184147e-11 1.02886387243100e-08 1.22540409749427e-24 1.16063811207072e-27 1.02942692970051e-25 1.32320511777831e-24 3.81810794493483e-28 -2.35925817553264e-25 1.12760307721024e-24 1.93946542964796e-27 4.41811203493366e-25
984 1.13724877500723e-13 6.61494215499258e-08 5.40478349149371e-11 -1.32269533471427e-09 3.44995742852818e-08 -1.22335222580844e-13 -6.95405473473242e-10 3.16498472646440e-08 5.41701701375179e-11 -6.27289861241025e-10 1.42028291246677e-24 1.16045181631064e-27 -2.83993652291626e-26 1.48146891376161e-24 -5.25327726692983e-30 -2.98618638853695e-26 1.35909691117193e-24 2.32615690988822e-27 -2.69368665729557e-26
992 1.14649470000729e-13 7.86591408727699e-08 5.39370514057495e-11 -5.17970446446906e-09 4.07906445150579e-08 -9.21668340794790e-12 5.78406962780676e-09 3.78684963577120e-08 6.31537348136974e-11 -1.09637740922758e-08 1.68887695573563e-24 1.15807320253904e-27 -1.11212548351022e-25 1.75161789886606e-24 -3.95779665103937e-28 2.48377538742096e-25 1.62613601260520e-24 2.71192607018202e-27 -4.70802635444139e-25
1000 1.15574062500735e-13 9.02864605837687e-08 5.37850620223700e-11 1.50623561580047e-08 4.52630065687581e-08 -1.80393137150442e-11 2.95488641731338e-10 4.50234540150106e-08 7.18243757374142e-11 1.47668675162733e-08 1.93852514791000e-24 1.15480986449266e-27 3.23401272021049e-25 1.94366853980601e-24 -7.74638036789709e-28 1.26887721417876e-26 1.93338175601400e-24 3.08425776577502e-27 6.34113771900310e-25
1008 1.16498655000741e-13 1.06061829850945e-07 5.37048902308082e-11 -9.66153866053499e-09 5.29183799085443e-08 -2.60832877194168e-11 -4.81626919461484e-09 5.31434499424004e-08 7.97881779502251e-11 -4.84526946592015e-09 2.27723540240728e-24 1.15308850967278e-27 -2.07441243569125e-25 2.27240296221802e-24 -1.12005961596753e-27 -2.06818583705641e-25 2.28206784259654e-24 3.42623663531308e-27 -2.08063903432609e-25
1016 1.17423247500747e-13 1.20024603945412e-07 5.37065910565658e-11 -1.35978174222327e-08 5.76961469970300e-08 -3.28574763492375e-11 -2.50492314233701e-09 6.23284569483818e-08 8.65640674058033e-11 -1.10928942798957e-08 2.57702773607173e-24 1.15312502781162e-27 -2.91956411396038e-25 2.47756820165707e-24 -1.41095450609138e-27 -1.07565552434005e-25 2.67648727048639e-24 3.71720456171462e-27 -4.76347270358070e-25
1024 1.18347840000753e-13 1.38653811008024e-07 5.37000663301478e-11 2.34846566824200e-08 6.59782892953699e-08 -3.81979653411558e-11 3.90922176008850e-09 7.26755217126541e-08 9.18980316713036e-11 1.95754349223315e-08 2.97701225360623e-24 1.15298493652703e-27 5.04235045593184e-25 2.83321712221708e-24 -1.64028395695328e-27 1.67868463149190e-25 3.12080738499537e-24 3.94625383000734e-27 8.40601628037180e-25
1032 1.19272432500759e-13 1.56080497899629e-07 5.38019772008762e-11 -5.09730508591606e-09 7.18666299195978e-08 -4.17653827915861e-11 5.84404903557421e-09 8.42138679800312e-08 9.55673599924623e-11 -1.09413541214903e-08 3.35117766629052e-24 1.15517304739631e-27 -1.09443365391978e-25 3.08607223040765e-24 -1.79347477639704e-27 2.50953153946461e-25 3.61628310217339e-24 4.10382087118966e-27 -4.69839884730418e-25
1040 1.20197025000765e-13 1.76873594160300e-07 5.39307501483080e-11 -1.35236542737370e-08 7.98535478901465e-08 -4.33780757951409e-11 -4.09894534595284e-09 9.70200462701539e-08 9.73088259434489e-11 -9.42470892778413e-09 3.79762267857259e-24 1.15793790931861e-27 -2.90364067123401e-25 3.42904372890465e-24 -1.86272648751820e-27 -1.76015508453030e-25 4.16620162824052e-24 4.17860230615541e-27 -4.04712625793772e-25
1048 1.21121617500771e-13 1.98281684605216e-07 5.39407661512577e-11 1.75855910176980e-08 8.70818040030723e-08 -4.30616986761955e-11 -6.40495522281299e-09 1.11199880602143e-07 9.70024648274532e-11 2.39905462405110e-08 4.25727212576402e-24 1.15815296120428e-27 3.77577215988422e-25 3.73943702951345e-24 -1.84914072953558e-27 -2.75039395505833e-25 4.77510722201459e-24 4.16544665194415e-27 1.03019382748268e-24
1056 1.22046210000776e-13 2.21044380845824e-07 5.38873459274758e-11 -1.57483823025137e-08 9.42826026395839e-08 -4.07845309896874e-11 2.79533387284160e-09 1.26761778206240e-07 9.46718769171632e-11 -1.85437161753553e-08 4.74600608223266e-24 1.15700598471923e-27 -3.38130821996271e-25 4.04865126056557e-24 -1.75135537395154e-27 1.20036270649473e-25 5.44336090389976e-24 4.06536734339001e-27 -7.96297914642015e-25
1064 1.22970802500782e-13 2.46597429454218e-07 5.37061883332777e-11 8.94573959275559e-10 1.02829712841608e-07 -3.66774315806107e-11 6.18659167222410e-09 1.43767716612610e-07 9.03836199138884e-11 -5.29201771294854e-09 5.29465121698329e-24 1.15311638100881e-27 1.92072444252272e-26 4.41567834217787e-24 -1.57498971651004e-27 2.65662502636924e-25 6.17362409178871e-24 3.88122247852765e-27 -2.27248013786470e-25
1072 1.23895395000788e-13 2.71046807948655e-07 5.35169550496469e-11 2.90600206120294e-08 1.08739213755937e-07 -3.07787154000805e-11 2.05089500511166e-09 1.62307594192719e-07 8.42956704497274e-11 2.70091256069177e-08 5.81959963954618e-24 1.14905338555226e-27 6.23942730626095e-25 4.66944210830521e-24 -1.32168906473109e-27 8.80688315263671e-26 6.96975717078715e-24 3.61979583583560e-27 1.15981662972582e-24
1080 1.24819987500794e-13 3.00164904458730e-07 5.33888864317438e-11 -3.32642629711864e-08 1.17784950039370e-07 -2.33022413969908e-11 -6.17302094333590e-09 1.82379954419360e-07 7.66911278287345e-11 -2.70912420278505e-08 6.44478930784289e-24 1.14630364616876e-27 -7.14211299007648e-25 5.05788102048359e-24 -1.00063687641903e-27 -2.65079753040692e-25 7.83169759520218e-24 3.29324416875655e-27 -1.16334284497460e-24
1088 1.25744580000800e-13 3.27497921679933e-07 5.33773986268805e-11 -3.59256097456331e-09 1.23463140204166e-07 -1.45040722872296e-11 -5.29629369560292e-09 2.04034781475767e-07 6.78814709141101e-11 1.70373272103961e-09 7.03165184414088e-24 1.14605699347601e-27 -7.71352620266858e-26 5.30171191955534e-24 -6.22828909098998e-28 -2.27431631570442e-25 8.76159176872642e-24 2.91494289605103e-27 7.31611075170704e-26
1096 1.26669172500806e-13 3.59446142156397e-07 5.35381162741662e-11 3.23926954478046e-08 1.32143148130933e-07 -4.71083481125249e-12 4.69161195397586e-09 2.27302994025464e-07 5.82489510854187e-11 2.77010834938288e-08 7.71760661990859e-24 1.14950773458339e-27 6.95498021831281e-25 5.67444584978806e-24 -2.02291056493238e-28 2.01465595133816e-25 9.76076739002911e-24 2.50130652566003e-27 1.18953044852875e-24
1104 1.27593765000812e-13 3.91318687225092e-07 5.36064794888796e-11 -2.75251239965146e-08 1.39111087857623e-07 5.33405850405416e-12 8.16100080697390e-09 2.52207599367468e-07 4.82724209848254e-11 -3.56861248034885e-08 8.40193658194352e-24 1.15097554947011e-27 -5.90987228002790e-25 5.97366073321519e-24 2.29053315052448e-28 3.50446904090442e-25 1.08302124306719e-23 2.07289778388778e-27 -1.53242136009602e-24
1112 1.28518357500818e-13 4.23569397615535e-07 5.35791441979684e-11 1.10564148054030e-08 1.44793432121305e-07 1.50637740636199e-11 -2.48678032268865e-10 2.78775965494230e-07 3.85153701343486e-11 1.13050928376719e-08 9.09438606690069e-24 1.15038863811581e-27 2.37390390623546e-25 6.21767001617981e-24 6.46863431259842e-28 -1.06786469680844e-26 1.19711021176216e-23 1.65391384497177e-27 4.85459428215177e-25
1120 1.29442950000823e-13 4.60033465908675e-07 5.36624086987492e-11 1.75540956124640e-08 1.53078930770232e-07 2.41608377131797e-11 -7.76628794926659e-09 3.06954535138443e-07 2.95015709855695e-11 2.53203835617306e-08 9.87729983851518e-24 1.15217639596619e-27 3.76900983531253e-25 6.57346306399827e-24 1.03750642563103e-27 -3.33497279619138e-25 1.31811366130321e-23 1.26684636630135e-27 1.08729924668164e-24
1128 1.30367542500829e-13 4.95232546633707e-07 5.39003186244755e-11 -4.72965900048019e-08 1.58437050017866e-07 3.21772964001482e-11 -4.47930596821901e-09 3.36795496615841e-07 2.17230222243273e-11 -4.28172840365829e-08 1.06330532784840e-23 1.15728451927699e-27 -1.01549699192860e-24 6.80354958726832e-24 1.38174645146418e-27 -1.92348824141123e-25 1.44625569696996e-23 9.32822587089802e-28 -1.83864515971608e-24
1136 1.31292135000835e-13 5.33276719921340e-07 5.41995893695545e-11 2.80480270195424e-08 1.64950540629197e-07 3.86403620533008e-11 5.20490679811115e-09 3.68326179292142e-07 1.55592273162538e-11 2.28431202214312e-08 1.14498932140920e-23 1.16371011024177e-27 6.02214389345736e-25 7.08324967228884e-24 1.65928120518520e-27 2.23507326689470e-25 1.58165367558951e-23 6.68139015298349e-28 9.80921452002001e-25
1144 1.32216727500841e-13 5.72278110624193e-07 5.42603973255129e-11 2.86150509723897e-08 1.70896299746591e-07 4.29694292217514e-11 9.49433807799300e-09 4.01381810877601e-07 1.12909681037614e-11 1.91207128943967e-08 1.22872854010500e-23 1.16501570746041e-27 6.14388863624103e-25 7.33857042576526e-24 1.84517852619596e-27 4.07702616936071e-25 1.72360003763348e-23 4.84852888724849e-28 8.21075110312136e-25
1152 1.33141320000847e-13 6.10874036304861e-07 5.43410053940383e-11 -4.89965691472862e-08 1.74833287045467e-07 4.52981815893714e-11 -1.65485749265959e-09 4.36040749259394e-07 9.04282380466692e-12 -4.73417116546266e-08 1.31159719178885e-23 1.16674642950833e-27 -1.05199695324418e-24 7.50763118718013e-24 1.94517901350486e-27 -7.10623241842892e-26 1.87243126485969e-23 3.88313845511792e-28 -2.03293158230407e-24
1160 1.34065912500853e-13 6.55653894961718e-07 5.44325987338083e-11 2.74482036201518e-08 1.83295216544224e-07 4.55252455879163e-11 -7.74661659864090e-09 4.72358678417494e-07 8.90735314589206e-12 3.51948202187927e-08 1.40774326016378e-23 1.16871301443565e-27 5.89335683762360e-25 7.87100046818018e-24 1.95492951803274e-27 -3.32652559211788e-25 2.02838647350954e-23 3.82496510838553e-28 1.51132392673651e-24
1168 1.34990505000859e-13 6.94333594938973e-07 5.47638451468452e-11 4.22986757871724e-09 1.84286753813552e-07 4.38270409576534e-11 -5.23786465002936e-09 5.10046841125421e-07 1.09368041891918e-11 9.46773222874660e-09 1.49079178220652e-23 1.17582514949638e-27 9.08187630864629e-26 7.91357872231163e-24 1.88200579589818e-27 -2.24922591488897e-25 2.19022569218188e-23 4.69644503094570e-28 4.06560117661823e-25
1176 1.35915097500865e-13 7.39782373036958e-07 5.52188835961948e-11 -4.27821791264112e-08 1.90582331275231e-07 4.01875916937662e-11 5.17137688595330e-09 5.49200041761727e-07 1.50312919024286e-11 -4.79535560123645e-08 1.58837407606883e-23 1.18559520218896e-27 -9.18568848337908e-25 8.18392125542615e-24 1.72572181096908e-27 2.22067496674982e-25 2.35835602659504e-23 6.45468593408839e-28 -2.05920519335080e-24
1184 1.36839690000871e-13 7.85176493765486e-07 5.54875180264425e-11 5.57312506208619e-08 1.95251565013353e-07 3.45671946427967e-11 9.18490348963347e-09 5.89924928752133e-07 2.09203233836458e-11 4.65463471312284e-08 1.68583901602831e-23 1.19136300607963e-27 1.19659614691373e-24 8.38442589287221e-24 1.48437264401542e-27 3.94414982726252e-25 2.53323544276940e-23 8.98353368143834e-28 1.99877731110120e-24
1192 1.37764282500876e-13 8.30441345580193e-07 5.57693406030732e-11 -2.56191476838984e-09 1.98632203863689e-07 2.74471952322938e-11 6.44044095787040e-10 6.31809141716504e-07 2.83221453707794e-11 -3.20595886417688e-09 1.78302640491462e-23 1.19741397040490e-27 -5.50064336691759e-26 8.52959612958335e-24 1.17862806567837e-27 2.76563211798023e-26 2.71309319687090e-23 1.21619987513142e-27 -1.37669188518154e-25
1200 1.38688875000882e-13 8.77333987931998e-07 5.57590333330964e-11 -5.24138413799894e-08 2.02381461968418e-07 1.87767791206967e-11 -8.41426898078729e-09 6.74952525963580e-07 3.69822542123997e-11 -4.39995723992021e-08 1.88370879501295e-23 1.19719266477472e-27 -1.12536862068488e-24 8.69059548818107e-24 8.06306023890492e-28 -3.61322659346059e-25 2.89835804120778e-23 1.58807930565894e-27 -1.88941458202369e-24
1208 1.39613467500888e-13 9.25003462350961e-07 5.52759668358940e-11 4.92078100207551e-08 2.05510173961884e-07 8.77871545772131e-12 -6.16648300079174e-09 7.19493288389077e-07 4.64972513781727e-11 5.53742930215469e-08 1.98605910795170e-23 1.18682082666206e-27 1.05653246989683e-24 8.82494756800980e-24 3.76972595250863e-28 -2.64799002949138e-25 3.08962345910242e-23 1.99666905807325e-27 2.37786394274279e-24
1216 1.40538060000894e-13 9.73776689065596e-07 5.46872205648774e-11 -1.42840210477375e-08 2.08809792321980e-07 -1.65436259652282e-12 3.08458200563020e-09 7.64966896743616e-07 5.63415831614002e-11 -1.73686030533677e-08 2.09077926856018e-23 1.17417995620679e-27 -3.06689772035354e-25 8.96663865055294e-24 -7.10410725237293e-29 1.32457064991642e-25 3.28489467206507e-23 2.41940098493731e-27 -7.45836609062350e-25
1224 1.41462652500900e-13 1.02426329196023e-06 5.37751541416338e-11 -2.85462956943519e-08 2.12843979304188e-07 -1.22053191215014e-11 6.94696127495712e-09 8.11419312656045e-07 6.59804732631352e-11 -3.54932569693090e-08 2.19917818985026e-23 1.15459713408053e-27 -6.12912630812825e-25 9.13987332750930e-24 -5.24116637252492e-28 2.98314033931292e-25 3.48436904694959e-23 2.83331090541355e-27 -1.52413929555694e-24
1232 1.42387245000906e-13 1.07246453300798e-06 5.29817405468517e-11 6.21191572454618e-08 2.13456967643275e-07 -2.20343320625423e-11 2.07199907100057e-09 8.59007565364703e-07 7.50160726093940e-11 6.00471581744613e-08 2.30267024981958e-23 1.13756188653362e-27 1.33374979713129e-24 9.16619606301169e-24 -9.46190747637235e-28 8.89750751022986e-26 3.68872089333799e-23 3.22131452070447e-27 2.57852451916028e-24
1240 1.43311837500912e-13 1.12267950295859e-06 5.26462589227010e-11 -3.49979812173712e-08 2.15403876940936e-07 -3.02892778137212e-11 -3.72299287606491e-09 9.07275626017649e-07 8.29355367364222e-11 -3.12749883413063e-08 2.41048595266295e-23 1.13035881797967e-27 -7.51435666846295e-25 9.24979957587095e-24 -1.30067180337528e-27 -1.59871486135964e-25 3.89599194773881e-23 3.56138943933463e-27 -1.34299984755663e-24
1248 1.44236430000918e-13 1.17464612546096e-06 5.24580547055954e-11 -3.08794268298179e-08 2.18441749111227e-07 -3.67490477385024e-11 -7.74896737667632e-09 9.56204376349729e-07 8.92071024440978e-11 -2.31304594531416e-08 2.52206259873086e-23 1.12631791743442e-27 -6.63006890242525e-25 9.38025084309677e-24 -1.57806503305633e-27 -3.32753505517786e-25 4.10610011315204e-23 3.83070086792517e-27 -9.93260274967265e-25
1256 1.45161022500923e-13 1.22573419801250e-06 5.26611725724674e-11 6.29132220958364e-08 2.19831306296530e-07 -4.09071202417342e-11 3.21570950022403e-09 1.00590289171597e-06 9.35682928142016e-11 5.96975125956124e-08 2.63175292523062e-23 1.13067902640220e-27 1.35079902767560e-24 9.43992073226407e-24 -1.75661955966488e-27 1.38087896994781e-25 4.31951377723482e-23 4.01797761246928e-27 2.56351015835642e-24
1264 1.46085615000929e-13 1.27762149512389e-06 5.30640417346453e-11 -3.87236370388510e-08 2.21600077866115e-07 -4.28092052044524e-11 4.30651170315131e-09 1.05602141725778e-06 9.58732469390977e-11 -4.30301487420023e-08 2.74315925310875e-23 1.13932896125567e-27 -8.31428585559671e-25 9.51587471576012e-24 -1.83829824127117e-27 1.84928751937993e-25 4.53473103464149e-23 4.11695616378251e-27 -1.84778592305734e-24
1272 1.47010207500935e-13 1.32918059527048e-06 5.33944972056835e-11 -6.94640618442617e-09 2.22705985507843e-07 -4.26101071203000e-11 1.53284792241668e-09 1.10647460976263e-06 9.60046043259835e-11 -8.47925410684285e-09 2.85386091489893e-23 1.14642411413607e-27 -1.49145098711827e-25 9.56336422328748e-24 -1.82974863946965e-27 6.58230309686217e-26 4.75138540746911e-23 4.12259686774178e-27 -3.64113228392276e-25
1280 1.47934800000941e-13 1.38169634558714e-06 5.31548921518312e-11 5.43399795402165e-08 2.24432592979263e-07 -4.08748040112689e-11 1.83310373946382e-10 1.15726375260787e-06 9.40296961631001e-11 5.41566691662701e-08 2.96661658390177e-23 1.14127959501929e-27 1.16672440357643e-24 9.63750761050800e-24 -1.75523184715433e-27 7.87165135215703e-27 4.96948240675273e-23 4.03779103719291e-27 2.32557715580071e-24
1288 1.48859392500947e-13 1.43316360073586e-06 5.26283651792559e-11 -5.33811976943182e-08 2.24963453731661e-07 -3.74206785036954e-11 -2.45016361913081e-09 1.20820014700420e-06 9.00490436829514e-11 -5.09310340751874e-08 3.07712104686842e-23 1.12997462447564e-27 -1.14613856260298e-24 9.66030365128549e-24 -1.60690597155405e-27 -1.05214087726308e-25 5.18821172860830e-23 3.86685522050533e-27 -2.18706303747965e-24
1296 1.49783985000953e-13 1.48543281730863e-06 5.23898590595458e-11 3.74547321607672e-09 2.26261236259922e-07 -3.19709501287262e-11 -2.89752561311407e-09 1.25917158104871e-06 8.43608091882720e-11 6.64299882919079e-09 3.18934738748774e-23 1.12485370038581e-27 8.04184146021709e-26 9.71603258453389e-24 -1.37288560048513e-27 -1.24424553391891e-25 5.40709151652210e-23 3.62259300125676e-27 2.85261382596232e-25
1304 1.50708577500959e-13 1.53967198942572e-06 5.20637634625066e-11 4.58699348488935e-08 2.29627523282012e-07 -2.52471269563656e-11 1.69890796988700e-09 1.31004446614371e-06 7.73108904188722e-11 4.41710268790065e-08 3.30580338595193e-23 1.11785215761411e-27 9.84865523165265e-25 9.86058652994742e-24 -1.08415348660128e-27 7.29539247040268e-26 5.62554811890913e-23 3.31985780182950e-27 1.89677712162650e-24
1312 1.51633170000965e-13 1.58971796907990e-06 5.12725623555200e-11 -4.83722282751611e-08 2.28931403786350e-07 -1.78613795315816e-11 5.64605691259126e-09 1.36078656529355e-06 6.91339418871016e-11 -5.40182851877524e-08 3.41325625262114e-23 1.10086441401412e-27 -1.03859183719846e-24 9.83069400476555e-24 -7.66997247969661e-28 2.42451043951033e-25 5.84344310476573e-23 2.96872607599789e-27 -2.31963471834796e-24
1320 1.52557762500971e-13 1.63931332903618e-06 5.10170271584422e-11 1.61108037486958e-08 2.27973330951502e-07 -9.16142233595512e-12 -4.02878596843459e-09 1.41133999808467e-06 6.01784494943973e-11 2.01395897171304e-08 3.51974160144670e-23 1.09537786151767e-27 3.45912310859866e-25 9.78955276892854e-24 -3.93406663059868e-28 -1.73002748471047e-25 6.06052792600056e-23 2.58416238609520e-27 8.64827370190778e-25
1328 1.53482355000976e-13 1.69053109878600e-06 5.13712511519389e-11 2.81865015784766e-08 2.29117615399295e-07 4.81343863455936e-13 -2.98812710020334e-09 1.46141348338671e-06 5.08899072884830e-11 3.11746286786799e-08 3.62971039858189e-23 1.10298334427717e-27 6.05187552908734e-25 9.83869024013002e-24 2.06697034764311e-29 -1.28315131448113e-25 6.27555177315078e-23 2.18529698507791e-27 1.33869023726558e-24
1336 1.54406947500982e-13 1.74313001788440e-06 5.14814771062669e-11 -4.73609665727507e-08 2.32049579434973e-07 9.79045846841500e-12 4.65101261069835e-09 1.51108043844943e-06 4.16910186378519e-11 -5.20119791834491e-08 3.74264463785305e-23 1.10534998688378e-27 -1.01687921020472e-24 9.96459363647940e-24 4.20418517413958e-28 1.99722192027232e-25 6.48882991205816e-23 1.79028145635359e-27 -2.23348061243667e-24
1344 1.55331540000988e-13 1.79436042246732e-06 5.19124856833844e-11 2.98429376107331e-08 2.34002348462295e-07 1.88845761845718e-11 -5.46299579469033e-10 1.56035807400502e-06 3.30279094988126e-11 3.03892371902021e-08 3.85264056302218e-23 1.11460409830098e-27 6.40752607554489e-25 1.00484487758446e-23 8.10935008520999e-28 -2.34590096066688e-26 6.70043624845991e-23 1.41827318808096e-27 1.30496422471565e-24
1352 1.56256132500994e-13 1.84193700924012e-06 5.22903437194197e-11 1.47157414158228e-08 2.33091121865546e-07 2.70036664172410e-11 -2.39696383140916e-09 1.60884588737458e-06 2.52866773021787e-11 1.71127052472319e-08 3.95479143848511e-23 1.12271702354424e-27 3.15959166194645e-25 1.00093191951341e-23 1.15958220307077e-27 -1.02929600646073e-25 6.90865095745681e-23 1.08585184401770e-27 7.34847933035362e-25
1360 1.57180725001000e-13 1.89016572927890e-06 5.36761885297144e-11 -4.57289742247543e-08 2.33499073066927e-07 3.47510377491061e-11 -2.33428682098669e-10 1.65666665621197e-06 1.89251507806084e-11 -4.54955455426556e-08 4.05834249812592e-23 1.15247226035922e-27 -9.81838981721596e-25 1.00268372960294e-23 1.49226717177841e-27 -1.00238145911572e-26 7.11400126664890e-23 8.12677348940031e-28 -1.95365414885203e-24
1368 1.58105317501006e-13 1.93910222775028e-06 5.48734430374425e-11 3.63122681109243e-08 2.35214887529995e-07 4.06796616670971e-11 -1.58713360924282e-11 1.70388734022029e-06 1.41937813703454e-11 3.63281394470168e-08 4.16341321672987e-23 1.17817830705408e-27 7.79654495873903e-25 1.01005172135785e-23 1.74685211138546e-27 -6.81541483566249e-28 7.31677471210189e-23 6.09504502722694e-28 1.55999053323137e-24
1376 1.59029910001012e-13 1.99057228057954e-06 5.48995541619723e-11 6.17651154182263e-09 2.40539090662513e-07 4.35919164010381e-11 2.31560007477507e-09 1.75003318991703e-06 1.13076377609342e-11 3.86091146704756e-09 4.27392368654854e-23 1.17873893454145e-27 1.32614822563241e-25 1.03291473226388e-23 1.87190915764383e-27 9.94357060500549e-26 7.51493264083320e-23 4.85568711439074e-28 1.65793939076427e-25
1384 1.59954502501018e-13 2.03595354096290e-06 5.47806997540272e-11 -3.21892831051956e-08 2.40681041227726e-07 4.43154984272325e-11 3.59460096258258e-09 1.79527249973517e-06 1.04652013267948e-11 -3.57838840677782e-08 4.37136101428093e-23 1.17618703188349e-27 -6.91130590225331e-25 1.03352429152370e-23 1.90298096941459e-27 1.54358124520844e-25 7.70919773703816e-23 4.49393094352397e-28 -1.53661930497151e-24
1392 1.60879095001023e-13 2.08116775365770e-06 5.51648827240255e-11 3.19395271248826e-08 2.41486598300310e-07 4.34981946823389e-11 -5.82674375574064e-09 1.83968115535739e-06 1.16666880416866e-11 3.77662708806232e-08 4.46843967677929e-23 1.18443575870172e-27 6.85768122303262e-25 1.03698348713993e-23 1.86788459166951e-27 -2.50210036541435e-25 7.89989586641865e-23 5.00986925733938e-28 1.62174628114796e-24
1400 1.61803687501029e-13 2.12930274613691e-06 5.54896597514524e-11 -6.92390917307767e-09 2.46531361144352e-07 4.06573218174775e-11 -5.54491473214945e-12 1.88277138499256e-06 1.48323379339749e-11 -6.91836425834552e-09 4.57178949558056e-23 1.19140899069088e-27 -1.48662069230221e-25 1.05864653512118e-23 1.74589280120743e-27 -2.38107831047721e-28 8.08493245603995e-23 6.36925180174332e-28 -2.97086030629394e-25
1408 1.62728280001035e-13 2.17283258416866e-06 5.56910309071713e-11 -2.15935287236225e-08 2.48107831425892e-07 3.59279415959092e-11 2.98293361304011e-09 1.92472475274277e-06 1.97630893112621e-11 -2.45764623366626e-08 4.66525166605817e-23 1.19573259632234e-27 -4.63630960746560e-25 1.06541615985990e-23 1.54280537405035e-27 1.28092114499477e-25 8.26508717225645e-23 8.48659818594339e-28 -1.05535403599260e-24
1416 1.63652872501041e-13 2.22099315144389e-06 5.67041568435313e-11 3.74645138407941e-08 2.55433620889397e-07 3.04461742921576e-11 2.36834346866968e-09 1.96555953055449e-06 2.62579825513736e-11 3.50961703721244e-08 4.76865639606641e-23 1.21748524996426e-27 8.04394166799999e-25 1.09687431429741e-23 1.30740919826486e-27 1.01700594822740e-25 8.44043847783541e-23 1.12756130166367e-27 1.50708773877726e-24
1424 1.64577465001047e-13 2.26485677587369e-06 5.73008455607757e-11 -1.55492712121800e-08 2.59978030548715e-07 2.32868356515893e-11 -1.29361913069663e-09 2.00487874532497e-06 3.40140099091865e-11 -1.42556520814834e-08 4.86283523360845e-23 1.23029665132360e-27 -3.33855741842015e-25 1.11638876275409e-23 9.99975328171595e-28 -5.55501500548071e-26 8.60928170446281e-23 1.46061797447561e-27 -6.12161333629224e-25
1432 1.65502057501053e-13 2.30739136092280e-06 5.69667370390395e-11 -1.33809793862601e-08 2.64508929371027e-07 1.43079543215886e-11 1.82958220671469e-10 2.04288243155177e-06 4.26587827174508e-11 -1.35639376069316e-08 4.95416051343500e-23 1.22312306441667e-27 -2.87300719024905e-25 1.13584519343683e-23 6.14407278526842e-28 7.85652930672689e-27 8.77247583343318e-23 1.83183885030650e-27 -5.82457967356537e-25
