#[0]step() [1]time(s) [2]total_x(kg*m/s) [3]total_y(kg*m/s) [4]total_z(kg*m/s) [5]ele_x(kg*m/s) [6]ele_y(kg*m/s) [7]ele_z(kg*m/s) [8]ion_x(kg*m/s) [9]ion_y(kg*m/s) [10]ion_z(kg*m/s) [11]total_mean_x(kg*m/s) [12]total_mean_y(kg*m/s) [13]total_mean_z(kg*m/s) [14]ele_mean_x(kg*m/s) [15]ele_mean_y(kg*m/s) [16]ele_mean_z(kg*m/s) [17]ion_mean_x(kg*m/s) [18]ion_mean_y(kg*m/s) [19]ion_mean_z(kg*m/s)
360 4.16066625002647e-14 -1.15537249425872e-11 5.38289404380481e-11 -2.36535450280477e-11 1.88467241223431e-12 -4.71041429014147e-11 2.22422399345958e-11 -1.34383973548216e-11 1.00933083339463e-10 -4.58957849626435e-11 -2.48068051493281e-28 1.15575197044844e-27 -5.07861218366725e-28 8.09309578217142e-29 -2.02272998619584e-27 9.55118656336240e-28 -5.77067060808276e-28 4.33423392709271e-27 -1.97084109306969e-27
368 4.25312550002705e-14 -1.16961074607695e-11 5.38260556229804e-11 -2.43756849707684e-11 2.43582262635215e-12 -4.14580632460704e-11 1.82973182854463e-11 -1.41319300871217e-11 9.52841188690508e-11 -4.26730032562147e-11 -2.51125122180674e-28 1.15569003107769e-27 -5.23366161524570e-28 1.04598261721663e-28 -1.78027796563329e-27 7.85717180766919e-28 -6.06848506083010e-28 4.09165802778866e-27 -1.83244950381606e-27
376 4.34558475002764e-14 -1.20479327533649e-11 5.38154087029090e-11 -2.51688047960775e-11 2.67636816234130e-12 -3.37634850514175e-11 1.34688403275266e-11 -1.47243009157061e-11 8.75788937543265e-11 -3.86376451236040e-11 -2.58679102843523e-28 1.15546143287844e-27 -5.40395101597385e-28 1.14927685817313e-28 -1.44986002175885e-27 5.78374332525082e-28 -6.32285891504358e-28 3.76078288751572e-27 -1.65916453571985e-27
384 4.43804400002823e-14 -1.25130212882614e-11 5.38266905965174e-11 -2.60193768440866e-11 2.69591864236271e-12 -2.44804277272388e-11 7.92335812817946e-12 -1.52089399306241e-11 7.83071183237562e-11 -3.39427349722661e-11 -2.68664939203394e-28 1.15570366448586e-27 -5.58657588514183e-28 1.15767215840534e-28 -1.05123015065621e-27 3.40242133495137e-28 -6.53097094247322e-28 3.36263747962793e-27 -1.45755731052350e-27
392 4.53050325002882e-14 -1.30303040244258e-11 5.38271280772695e-11 -2.69128588246400e-11 2.53667771053436e-12 -1.40999164633488e-11 1.91197253820776e-12 -1.55669817349602e-11 6.79270445406183e-11 -2.88248313628477e-11 -2.79771428328684e-28 1.15571305756024e-27 -5.77841387251095e-28 1.08929146235635e-28 -6.05473788005500e-28 8.21032704896037e-29 -6.68472002893003e-28 2.91689990312598e-27 -1.23778604499179e-27
400 4.62296250002941e-14 -1.33320342461513e-11 5.38202999357564e-11 -2.78210838837262e-11 2.47201056604982e-12 -3.15520065370044e-12 -4.25565550567493e-12 -1.58040448122012e-11 5.69755005894568e-11 -2.35654283780513e-11 -2.86249826295748e-28 1.15556645170205e-27 -5.97341732104764e-28 1.06152231845232e-28 -1.35489546812514e-28 -1.82744902508131e-28 -6.78651884436729e-28 2.44662245021662e-27 -1.01193856170140e-27
408 4.71542175003000e-14 -1.38276803551561e-11 5.38223784986676e-11 -2.87301402130410e-11 2.09345579128191e-12 7.82230495644590e-12 -1.03518870075635e-11 -1.59211361464380e-11 4.60000735422217e-11 -1.83782532054775e-11 -2.96891759101144e-28 1.15561108017069e-27 -6.16859925019287e-28 8.98964622424766e-29 3.35902742773317e-28 -4.44527189630296e-28 -6.83679980444764e-28 1.97531941756807e-27 -7.89192660408278e-28
416 4.80788100003058e-14 -1.43463201758948e-11 5.38288970573766e-11 -2.96246695543264e-11 1.59123042234401e-12 1.83662021694041e-11 -1.60355649592767e-11 -1.59375505982388e-11 3.54626948879725e-11 -1.35891045950497e-11 -3.08027385957140e-28 1.15575103902946e-27 -6.36066211459282e-28 6.83300723029529e-29 7.88675168940882e-28 -6.88593743369992e-28 -6.84384844217233e-28 1.52282690911804e-27 -5.83538679548571e-28
424 4.90034025003117e-14 -1.46418039438541e-11 5.38275186308459e-11 -3.04591006347786e-11 1.22113266937346e-12 2.80578884351865e-11 -2.09377943105173e-11 -1.58629366132276e-11 2.57696301956594e-11 -9.52130632426135e-12 -3.14371667384109e-28 1.15572144306926e-27 -6.53982138423254e-28 5.24374612363637e-29 1.20485224422765e-27 -8.99103598707279e-28 -6.81180796004582e-28 1.10659064191087e-27 -4.08860678139228e-28
432 4.99279950003176e-14 -1.49151349069691e-11 5.38327128437799e-11 -3.12202363491772e-11 8.05171602424952e-13 3.64696463474613e-11 -2.47876748544818e-11 -1.57203065093941e-11 1.73630664963187e-11 -6.43256149469544e-12 -3.20240309728432e-28 1.15583296712648e-27 -6.70324353122933e-28 3.45754034346179e-29 1.56606707412888e-27 -1.06442385165928e-27 -6.75056022891482e-28 7.45598860124069e-28 -2.76224854586589e-28
