#[0]step() [1]time(s) [2]momentum_x_lev0(kg*m/s) [3]momentum_y_lev0(kg*m/s) [4]momentum_z_lev0(kg*m/s)
936 1.08177322500688e-13 3.24719552188687e-03 7.28297590121645e-14 -1.32778918398618e-09
944 1.09101915000694e-13 3.24726615585118e-03 4.54591498967520e-14 1.04955454241724e-08
952 1.10026507500700e-13 3.24732689243591e-03 -1.28438326244214e-13 -7.10949623663956e-09
960 1.10951100000706e-13 3.24734783384807e-03 -8.21561908763797e-14 -4.04116399369301e-09
968 1.11875692500712e-13 3.24736872223484e-03 -1.54924103986068e-13 8.60549993407380e-09
976 1.12800285000718e-13 3.24738832900817e-03 -2.56192595514757e-13 -5.51990127837273e-09
984 1.13724877500723e-13 3.24739290909826e-03 -2.00787189409021e-13 2.51277661272434e-09
992 1.14649470000729e-13 3.24739054182227e-03 -1.02542634051161e-13 3.95871001824584e-09
1000 1.15574062500735e-13 3.24739105379190e-03 5.49870540941593e-14 -1.51939927533216e-08
1008 1.16498655000741e-13 3.24738223894259e-03 1.22326702448740e-13 1.20214148786277e-08
1016 1.17423247500747e-13 3.24737208785401e-03 1.24658173487911e-13 1.12589456655903e-08
1024 1.18347840000753e-13 3.24735837047507e-03 1.60434895767851e-13 -2.41313446012056e-08
1032 1.19272432500759e-13 3.24734467614270e-03 2.64425126023980e-14 8.03565333101251e-09
1040 1.20197025000765e-13 3.24732565367924e-03 -1.00192920668813e-13 1.12507202199826e-08
1048 1.21121617500771e-13 3.24730678122951e-03 -8.65943575284560e-14 -1.74150384803089e-08
1056 1.22046210000776e-13 3.24728577571186e-03 -4.96349787259717e-14 1.79838553491048e-08
1064 1.22970802500782e-13 3.24726193807912e-03 1.43022196510573e-13 -4.93570612073850e-09
1072 1.23895395000788e-13 3.24723881169838e-03 3.57800470452812e-13 -2.69309573767261e-08
1080 1.24819987500794e-13 3.24721127068412e-03 4.29066348559280e-13 3.61213749226720e-08
1088 1.25744580000800e-13 3.24718562672934e-03 4.33071714236534e-13 -1.66662476585491e-09
1096 1.26669172500806e-13 3.24715491380341e-03 3.23280650985324e-13 -2.99769572316720e-08
1104 1.27593765000812e-13 3.24712479306033e-03 1.93308958706015e-13 2.94582369049694e-08
1112 1.28518357500818e-13 3.24709373265635e-03 2.25343816410828e-13 -1.60369255453962e-08
1120 1.29442950000823e-13 3.24705893649829e-03 1.99384646907008e-13 -1.27334346662723e-08
1128 1.30367542500829e-13 3.24702548963212e-03 -1.01717793139840e-13 4.72220959325966e-08
1136 1.31292135000835e-13 3.24698869624996e-03 -4.34760163763044e-13 -3.42801940908214e-08
1144 1.32216727500841e-13 3.24695182630933e-03 -4.22667596048577e-13 -2.23532298136814e-08
1152 1.33141320000847e-13 3.24691454936129e-03 -4.89523424957672e-13 4.85253742521600e-08
1160 1.34065912500853e-13 3.24687173346753e-03 -6.54704286518206e-13 -3.25238796573541e-08
1168 1.34990505000859e-13 3.24683510298478e-03 -9.67006513738296e-13 2.47364243941403e-09
1176 1.35915097500865e-13 3.24679113577238e-03 -1.37317192121389e-12 3.94778920550701e-08
1184 1.36839690000871e-13 3.24674809753989e-03 -1.66578500220707e-12 -6.01231845392352e-08
